model_key,dataset,artifact_dir,predict_ok,error
xgb,TON_IoT,data/models\xgb\TON_IoT,True,
lgbm,TON_IoT,data/models\lgbm\TON_IoT,True,
rf,TON_IoT,data/models\rf\TON_IoT,True,
mlp,TON_IoT,data/models\mlp\TON_IoT,True,
et,TON_IoT,data/models\et\TON_IoT,True,
lr,TON_IoT,data/models\lr\TON_IoT,True,
xgb,URLLC,data/models\xgb\URLLC,True,
lgbm,URLLC,data/models\lgbm\URLLC,True,
rf,URLLC,data/models\rf\URLLC,True,
mlp,URLLC,data/models\mlp\URLLC,True,
et,URLLC,data/models\et\URLLC,True,
lr,URLLC,data/models\lr\URLLC,True,
lgbm,eMBB,data/models\lgbm\eMBB,True,
xgb,eMBB,data/models\xgb\eMBB,True,
rf,eMBB,data/models\rf\eMBB,True,
mlp,eMBB,data/models\mlp\eMBB,True,
et,eMBB,data/models\et\eMBB,True,
lr,eMBB,data/models\lr\eMBB,True,
lgbm,mMTC,data/models\lgbm\mMTC,True,
xgb,mMTC,data/models\xgb\mMTC,True,
rf,mMTC,data/models\rf\mMTC,True,
et,mMTC,data/models\et\mMTC,True,
mlp,mMTC,data/models\mlp\mMTC,True,
lr,mMTC,data/models\lr\mMTC,True,
