model_key,model_name,dataset,accuracy,f1_macro,roc_auc,artifact_dir
xgb,XGBoost,TON_IoT,0.996568264983031,0.9952575419493368,0.9998217244510667,data/models\xgb\TON_IoT
lgbm,LightGBM,TON_IoT,0.9964355459492255,0.9950748103329282,0.9998226510277908,data/models\lgbm\TON_IoT
rf,RandomForest,TON_IoT,0.9949756365773658,0.9930752846337645,0.9992850575751713,data/models\rf\TON_IoT
mlp,MLP,TON_IoT,0.9935726067914226,0.9911123278954767,0.9994739440182862,data/models\mlp\TON_IoT
et,ExtraTrees,TON_IoT,0.966952960582447,0.9558068400794391,0.9950379659046489,data/models\et\TON_IoT
lr,LogisticRegression,TON_IoT,0.8969910699050111,0.8731232627446939,0.9682880160034197,data/models\lr\TON_IoT
xgb,XGBoost,URLLC,0.7561942517343905,0.7275822255781692,0.8361112488020885,data/models\xgb\URLLC
lgbm,LightGBM,URLLC,0.7482656095143707,0.717495304191395,0.8253403720960973,data/models\lgbm\URLLC
rf,RandomForest,URLLC,0.6689791873141725,0.6675997380298584,0.8366275899672846,data/models\rf\URLLC
mlp,MLP,URLLC,0.7254707631318137,0.655781961045119,0.7757034632034632,data/models\mlp\URLLC
et,ExtraTrees,URLLC,0.647175421209118,0.6423667253422967,0.8000933544826675,data/models\et\URLLC
lr,LogisticRegression,URLLC,0.5361744301288405,0.5359734287174246,0.6452467697696707,data/models\lr\URLLC
lgbm,LightGBM,eMBB,0.9490358126721763,0.948959892987163,0.9928883111354375,data/models\lgbm\eMBB
xgb,XGBoost,eMBB,0.9455922865013774,0.9455141100063222,0.9905944018731375,data/models\xgb\eMBB
rf,RandomForest,eMBB,0.9373278236914601,0.9372019776823969,0.9908471690080886,data/models\rf\eMBB
mlp,MLP,eMBB,0.8994490358126722,0.8993480164163883,0.9728702943501792,data/models\mlp\eMBB
et,ExtraTrees,eMBB,0.8891184573002755,0.8887723189752506,0.9739896916621054,data/models\et\eMBB
lr,LogisticRegression,eMBB,0.8477961432506887,0.8477579438032997,0.9276534847655538,data/models\lr\eMBB
lgbm,LightGBM,mMTC,0.925476603119584,0.925168898540234,0.9814699705498962,data/models\lgbm\mMTC
xgb,XGBoost,mMTC,0.925476603119584,0.9251167268787217,0.9794633804856853,data/models\xgb\mMTC
rf,RandomForest,mMTC,0.9237435008665511,0.923375255410785,0.9794603630570174,data/models\rf\mMTC
et,ExtraTrees,mMTC,0.9098786828422877,0.9096177944862156,0.9687454738569979,data/models\et\mMTC
mlp,MLP,mMTC,0.902946273830156,0.902566994237606,0.9645965094385169,data/models\mlp\mMTC
lr,LogisticRegression,mMTC,0.8830155979202773,0.8828677440819226,0.9457918939796264,data/models\lr\mMTC
